DASH_A1
Date,Close,High,Low,Open,Volume
24-02-2022,100.41999816894500,100.91999816894500,85.177001953125,86.87999725341800,6639000.0
01-08-2024,108.1999969482420,112.7699966430660,105.90599822998000,108.62000274658200,7965400.0
11-02-2025,193.08999633789100,194.0,189.5,190.9199981689450,6771900.0
13-04-2021,149.4600067138670,150.36000061035200,143.5500030517580,146.83999633789100,2823500.0
17-09-2024,129.8800048828130,131.3699951171880,126.9000015258790,131.35000610351600,2825500.0
06-09-2022,58.22999954223630,58.86000061035160,56.95000076293950,58.2599983215332,5699000.0
15-11-2024,169.42999267578100,173.50999450683600,169.10000610351600,173.50999450683600,3601600.0
18-07-2024,100.27999877929700,104.33000183105500,99.88999938964840,103.05999755859400,6227000.0
02-03-2022,103.62000274658200,104.31999969482400,100.0,103.5999984741210,3297800.0
22-04-2022,89.0,95.5,88.69000244140630,91.48999786376950,5625000.0
07-10-2021,204.9199981689450,210.25,204.5800018310550,209.30999755859400,1084800.0
07-02-2025,195.5399932861330,199.1699981689450,195.1999969482420,197.13999938964800,2999400.0
09-04-2025,188.5800018310550,190.44000244140600,164.375,164.38999938964800,8136300.0
30-08-2023,82.7300033569336,83.4800033569336,80.18000030517580,81.0,2960400.0
08-11-2021,193.1499938964840,202.8699951171880,191.86000061035200,199.3999938964840,2679200.0
04-08-2021,178.52000427246100,180.4199981689450,175.04600524902300,175.44000244140600,1243200.0
22-12-2021,149.24000549316400,150.60000610351600,144.39999389648400,149.99000549316400,2384100.0
03-02-2025,190.8000030517580,192.77999877929700,185.0,186.63999938964800,4234300.0
21-03-2024,136.75999450683600,140.0,136.67999267578100,139.89999389648400,2532900.0
23-06-2023,72.63999938964840,73.26000213623050,71.22000122070310,72.05000305175780,6262500.0
24-09-2024,141.67999267578100,141.92999267578100,138.58999633789100,140.72999572753900,2599500.0
09-12-2021,164.86000061035200,168.5399932861330,162.8300018310550,167.61000061035200,3361000.0
28-09-2023,77.80000305175780,79.73999786376950,76.5999984741211,77.11000061035160,
14-09-2021,203.3300018310550,211.6999969482420,203.1000061035160,205.8999938964840,4008900.0
18-08-2023,77.81999969482420,78.2699966430664,76.25,77.19999694824220,2985200.0
21-01-2022,116.9499969482420,126.41000366210900,116.25,126.02999877929700,5115800.0
02-05-2022,82.26000213623050,85.37000274658200,78.79000091552730,81.62000274658200,
19-04-2024,127.18000030517600,130.48500061035200,125.0500030517580,130.08999633789100,4547400.0
02-08-2021,,179.52999877929700,169.8000030517580,175.35000610351600,
29-03-2022,123.5500030517580,125.11000061035200,115.45999908447300,,5660300.0
19-08-2022,64.98999786376950,65.58000183105470,62.70000076293950,64.2699966430664,5561300.0
03-03-2021,148.25,161.33999633789100,144.55999755859400,156.69000244140600,4070500.0
30-06-2023,76.41999816894530,77.80000305175780,76.22000122070310,76.66999816894530,2645100.0
14-03-2022,76.05999755859380,86.08999633789060,74.31999969482420,84.9000015258789,9861200.0
19-07-2024,106.0999984741210,106.20999908447300,102.5199966430660,103.5,5783000.0
12-01-2021,191.9900054931640,201.92999267578100,162.61500549316400,165.5,7081800.0
16-02-2024,116.01000213623000,116.86000061035200,109.0,111.87999725341800,19460100.0
30-09-2022,49.45000076293950,51.435001373291000,49.387001037597700,49.439998626709000,3223200.0
13-01-2022,131.77999877929700,140.92999267578100,131.55999755859400,139.67999267578100,3702700.0
21-07-2022,77.61000061035160,77.80999755859380,73.87999725341800,76.4000015258789,5054000.0
12-07-2024,105.0,106.70999908447300,104.7699966430660,106.12000274658200,3315900.0
05-03-2024,130.89999389648400,132.5749969482420,129.2100067138670,131.2100067138670,3723600.0
29-08-2024,126.52999877929700,128.4600067138670,125.91000366210900,127.87999725341800,1765400.0
14-01-2025,169.3300018310550,171.89999389648400,167.5500030517580,170.67999267578100,2262100.0
25-02-2025,191.27000427246100,196.2400054931640,186.8800048828130,194.94000244140600,4077400.0
18-02-2021,200.05999755859400,201.41000366210900,188.91000366210900,194.3000030517580,1728200.0
06-01-2023,48.0,48.349998474121100,45.93199920654300,47.31999969482420,3803100.0
10-09-2024,125.80999755859400,126.87999725341800,122.7300033569340,124.20999908447300,2298800.0
19-03-2021,135.02999877929700,136.6199951171880,127.12999725341800,132.0800018310550,2259400.0
06-03-2023,55.95000076293950,57.779998779296900,55.810001373291000,57.52000045776370,3148100.0
08-06-2021,136.75999450683600,142.91000366210900,135.68499755859400,139.82000732421900,2968300.0
11-04-2024,140.9499969482420,141.19000244140600,138.36000061035200,138.89999389648400,2565400.0
02-12-2021,166.1199951171880,,160.2899932861330,163.50999450683600,3866800.0
20-07-2021,177.55999755859400,180.0,173.64999389648400,176.24000549316400,1676700.0
22-09-2021,217.66000366210900,223.57000732421900,215.8249969482420,221.3500061035160,2170800.0
19-05-2021,140.1999969482420,140.72999572753900,130.00999450683600,130.36000061035200,5588700.0
19-12-2024,167.64999389648400,168.9949951171880,166.14999389648400,167.3000030517580,2964900.0
18-10-2022,46.900001525878900,48.7599983215332,45.85499954223630,47.400001525878900,4277500.0
25-02-2021,166.8699951171880,182.55499267578100,163.72999572753900,174.41000366210900,4005800.0
16-01-2024,104.0199966430660,104.4000015258790,,102.98999786377000,2423400.0
27-10-2023,70.6500015258789,73.13500213623050,70.5,72.0,2702800.0
01-03-2021,168.88999938964800,173.7899932861330,164.1999969482420,171.44000244140600,
12-12-2023,101.0,101.6500015258790,100.4499969482420,100.80999755859400,4789500.0
30-11-2022,58.25,58.63999938964840,54.7599983215332,55.29999923706060,7911200.0
